State,stations_2021,stations_2020,stations_2019,stations_2018,stations_2017,stations_2016,stations_2015,stations_2014,stations_2013,stations_2012,stations_2011
Alabama,276,223,195,165,146,113,101,67,0,4,0
Alaska,52,25,19,7,7,3,2,1,50,48,4
Arizona,890,574,522,479,432,424,322,309,38,36,11
Arkansas,160,112,98,70,62,63,44,41,710,527,43
California,14616,7671,6435,5469,4657,4175,3329,2344,5176,3573,1392
Colorado,1614,1062,861,709,555,443,319,213,256,206,33
Connecticut,533,456,422,383,355,339,243,202,217,150,40
Delaware,134,70,57,50,37,30,28,16,20,14,0
District of Columbia,289,190,172,123,96,101,75,61,62,105,51
Florida,2624,1822,1562,1266,1114,965,731,574,996,862,357
Georgia,1579,1008,882,770,692,587,477,308,370,193,44
Hawaii,385,320,296,278,275,248,216,192,351,315,60
Idaho,139,113,95,87,76,60,31,14,87,72,24
Illinois,1077,805,663,579,543,525,455,395,13,11,19
Indiana,354,282,239,224,198,196,149,126,527,471,170
Iowa,280,187,141,129,117,109,85,58,183,166,9
Kansas,493,246,234,198,194,195,158,97,109,67,13
Kentucky,222,168,133,113,95,82,45,40,45,36,0
Louisiana,159,141,107,102,88,79,48,46,53,61,12
Maine,295,220,184,151,129,110,54,30,546,414,60
Maryland,1250,880,738,665,541,495,385,282,553,406,167
Massachusetts,2175,1033,811,647,582,506,397,292,24,21,0
Michigan,834,628,616,606,550,533,326,283,721,651,355
Minnesota,589,445,380,318,294,285,238,209,235,150,69
Mississippi,112,105,81,58,57,41,33,33,146,120,36
Missouri,1053,508,452,409,378,295,188,107,37,38,6
Montana,75,65,55,43,33,36,15,4,2,2,0
Nebraska,182,116,95,77,63,58,31,22,524,465,152
Nevada,447,298,284,226,228,173,105,88,4,4,0
New Hampshire,164,131,121,126,100,97,72,47,28,8,0
New Jersey,745,558,457,308,265,244,190,143,40,42,15
New Mexico,187,119,82,70,61,58,34,25,219,188,70
New York,2974,2031,1655,1157,952,835,602,488,33,31,6
North Carolina,1117,822,732,667,594,453,329,284,107,55,27
North Dakota,61,38,28,20,10,7,4,3,693,520,226
Ohio,959,654,540,439,377,277,193,157,175,149,37
Oklahoma,313,263,131,65,60,54,42,33,32,26,0
Oregon,995,743,721,669,562,541,455,422,915,775,313
Pennsylvania,1143,759,572,453,382,352,276,239,263,217,33
Rhode Island,255,148,113,90,85,80,68,63,143,41,5
South Carolina,384,305,286,270,241,200,180,151,218,210,82
South Dakota,57,45,41,33,26,23,11,11,13,9,0
Tennessee,691,493,453,458,447,428,373,387,866,738,126
Texas,2316,1577,1376,1180,1068,1001,809,694,1599,1310,388
Utah,908,446,289,195,144,127,120,69,72,67,13
Vermont,328,266,237,209,172,161,105,51,370,300,90
Virginia,1139,808,710,616,465,424,300,234,51,28,8
Washington,1775,1224,1095,960,798,738,631,545,1325,1068,438
West Virginia,111,93,89,89,69,43,32,28,211,185,60
Wisconsin,474,381,345,306,283,279,225,174,42,37,6
Wyoming,70,61,57,45,37,32,15,10,2,0,0
