State,Registration Count
Alabama,4750
Alaska,1290
Arizona,40740
Arkansas,2390
California,563070
Colorado,37000
Connecticut,13350
Delaware,3010
District of Columbia,3700
Florida,95640
Georgia,34020
Hawaii,14220
Idaho,3500
Illinois,36520
Indiana,10360
Iowa,3660
Kansas,4500
Kentucky,4220
Louisiana,3180
Maine,3040
Maryland,25630
Massachusetts,30470
Michigan,17460
Minnesota,15000
Mississippi,1310
Missouri,10050
Montana,1650
Nebraska,2710
Nevada,17380
New Hampshire,4000
New Jersey,47830
New Mexico,4150
New York,51870
North Carolina,25190
North Dakota,380
Ohio,21200
Oklahoma,7080
Oregon,30290
Pennsylvania,26770
Rhode Island,2550
South Carolina,7440
South Dakota,680
Tennessee,12160
Texas,80900
Utah,16480
Vermont,3370
Virginia,30660
Washington,66810
West Virginia,1010
Wisconsin,9330
Wyoming,510
